start:320
end:800
wavelength#coldwhite,red,blue,purple,warmwhite
581#0.008695,0.000031,0.000006,0.000006,0.012739
582#0.008659,0.000032,0.000007,0.000008,0.012778
583#0.008615,0.000037,0.000006,0.000003,0.012842
584#0.008545,0.00004,0.000004,0.000008,0.012873
585#0.008443,0.000046,0.000009,0.000007,0.012939
586#0.008406,0.000054,0.000004,0.000004,0.012944
587#0.008246,0.000064,0.000005,0.000007,0.012981
588#0.008313,0.000067,0.000008,0.000009,0.013038
589#0.008161,0.00008,0.000011,0.000008,0.013045
590#0.008129,0.000081,0.000005,0.000008,0.013095
591#0.007998,0.000094,0.000002,0.000003,0.013066
592#0.007907,0.000112,0.000008,0.000008,0.013127
593#0.007843,0.000115,0,0.000006,0.013079
594#0.007717,0.000136,0.000009,0.000008,0.013115
595#0.007562,0.000145,0.000005,0.000007,0.013128
596#0.007585,0.000165,0.000008,0.000011,0.013173
597#0.00743,0.000192,0.000006,0.000009,0.013132
598#0.007415,0.000207,0.000006,0.000011,0.013076
599#0.007233,0.000229,0,0.000002,0.013051
600#0.007308,0.000256,0.000006,0.000007,0.013053
601#0.00717,0.000274,0.00001,0.000004,0.013
602#0.006959,0.000305,0.000001,0.000004,0.012938
603#0.006869,0.000352,0.000009,0.000009,0.012898
604#0.006872,0.000373,0.000002,0.000002,0.012792
605#0.00667,0.000423,0.000003,0.000006,0.012893
606#0.0067,0.00047,0.000005,0.00001,0.012733
607#0.006634,0.000533,0.000006,0.000006,0.012683
608#0.006515,0.000599,0.000006,0.000003,0.012604
609#0.006431,0.000669,0,0.00001,0.012567
610#0.006287,0.000748,0.000007,0.000007,0.012428
611#0.006141,0.000826,0.000005,0.00001,0.012402
612#0.006031,0.00094,0.000008,0.000008,0.012275
613#0.005985,0.00104,0.000001,0.000003,0.012123
614#0.0059,0.001137,0.000009,0.000007,0.012129
615#0.005856,0.001278,0.000005,0.000007,0.011972
616#0.005708,0.001435,0.000002,0.000003,0.011925
617#0.005642,0.001587,0.000005,0.000008,0.011723
618#0.005538,0.001759,0.000003,0.000006,0.011642
619#0.00546,0.001963,0.000003,0.000009,0.011511
620#0.005255,0.002143,0.000002,0.000009,0.011334
621#0.005198,0.002373,0.00001,0.000006,0.011211
622#0.005138,0.002607,0.000002,0.000009,0.011089
623#0.005074,0.002877,0.000004,0.000011,0.011004
624#0.004947,0.003119,0.000001,0.000008,0.010797
625#0.004863,0.003392,0.000002,0.000015,0.010609
626#0.00484,0.003662,0.000006,0.000005,0.010595
627#0.004696,0.004003,0.000005,0.000001,0.010346
628#0.004596,0.00438,0.000002,0.000008,0.010248
629#0.004493,0.004791,0.000005,0.000012,0.010117
630#0.004324,0.005145,0.00001,0.000007,0.009906
631#0.004452,0.00548,0,0.000005,0.009726
632#0.00433,0.005711,0.000002,0.000005,0.009617
633#0.004262,0.005859,0.000005,0.000008,0.009431
634#0.004035,0.00586,0.000003,0.000008,0.009289
635#0.004045,0.005603,0.000006,0.000004,0.009043
636#0.003987,0.005176,0.000003,0.000004,0.008922
637#0.003845,0.004622,0.000003,0.000007,0.008756
638#0.00385,0.003964,0,0,0.008607
639#0.003677,0.003312,0.000003,0.000005,0.008473
640#0.003687,0.002701,0.000001,0.000005,0.00826
641#0.003537,0.002268,0.000002,0.000004,0.008125
642#0.003496,0.001852,0.000006,0.000008,0.007955
643#0.003484,0.001501,0,0.000006,0.00778
644#0.003393,0.001251,0.000009,0.000008,0.007663
645#0.003334,0.001062,0,0.000008,0.007465
646#0.00323,0.000873,0.000007,0.000005,0.007281
647#0.003166,0.000753,0,0.000006,0.007103
648#0.003089,0.000615,0,0.000001,0.007009
649#0.003051,0.000526,0.000001,0.000002,0.006822
650#0.002993,0.000432,0,0.000007,0.006691
651#0.002826,0.000359,0.000001,0.000003,0.006516
652#0.002741,0.000303,0,0.000004,0.006389
653#0.002718,0.000249,0.000005,0.000006,0.006247
654#0.00269,0.000198,0,0.000001,0.006087
655#0.002575,0.000184,0.00001,0.000012,0.005957
656#0.002635,0.00015,0,0.000006,0.005804
657#0.002477,0.000133,0.000001,0.000001,0.005665
658#0.002433,0.000114,0.000004,0.00001,0.005537
659#0.002322,0.0001,0.000005,0.00001,0.005381
660#0.002271,0.000086,0,0.000003,0.005266
661#0.002273,0.000079,0.000006,0.000007,0.005152
662#0.002206,0.000066,0.000002,0.000007,0.005045
663#0.00216,0.000063,0.000001,0.000002,0.004875
664#0.002095,0.00006,0.000002,0.000006,0.004744
665#0.002098,0.000056,0.000001,0.000007,0.004635
666#0.002023,0.000048,0.000003,0.000002,0.004506
667#0.001952,0.000048,0.000008,0.000011,0.004404
668#0.001958,0.000042,0,0.00001,0.004243
669#0.001848,0.000035,0,0,0.004153
670#0.001916,0.000035,0,0.000001,0.004078
671#0.001736,0.000035,0.000007,0.000003,0.003916
672#0.001766,0.00004,0,0.000001,0.00383
673#0.001673,0.00004,0.000003,0.00001,0.003758
674#0.001669,0.000033,0,0.000002,0.003591
675#0.001589,0.000041,0.000005,0.000008,0.003482
